numer,Adres,Granice obwodu
237,Kraków ul. Kłuszyńska 46,"DĘBSKIEGO, DZIKIEJ RÓŻY, INICJATYWY LOKALNEJ, KSIĘDZA MAJA, KŁUSZYŃSKA, LIBERTOWSKA nieparzyste i parzyste od 2 do 6, 16, MIEJSCOWA, PETRAŻYCKIEGO nieparzyste od 1 do 39M i parzyste od 2 do 60A, SOLÓWKI parzyste, TAKLIŃSKIEGO, WAŻEWSKIEGO, ZAKARCZMIE"
238,Kraków ul. Kłuszyńska 46,"CHORZOWSKA, OPATKOWICKA, PORONIŃSKA, SMOLEŃSKIEGO, STAROWIEJSKA od 1 do 11, TOROWA, ZAKOPIAŃSKA nieparzyste od 183 i parzyste od 196, ZEMBRZYCKA"
239,Kraków ul. Podedworze 16,"ŁUŻYCKA nieparzyste od 43 do 53 i od 71 do 73c, PODEDWORZE parzyste od 2 do 4"
240,Kraków ul. Podedworze 16,"BOCHENKA (bez 12) , PODEDWORZE parzyste od 6 do 12"
241,Kraków ul. Podedworze 16,ŁUŻYCKA nieparzyste od 55 do 69
242,Kraków ul. Cechowa 57,"KORDIANA, TUCHOWSKA nieparzyste od 1 do 27 i parzyste od 2 do 34"
243,Kraków ul. Cechowa 57,"BŁOGOSŁAWIONEJ FRANCISZKI SIEDLISKIEJ, CECHOWA nieparzyste od 57 i parzyste od 72, GWARNA, KANARKOWA, KIJANKI, ŁUŻYCKA nieparzyste od 75 i parzyste od 42, NAZARETAŃSKA, POCHYŁA, PODEDWORZE parzyste od 14, RODZINY JĘDÓW, TUCHOWSKA nieparzyste od 29 do 39 i parzyste od 36 do 48, UKOŚNA, URWANA, WIDNOKRĄG, ZIMNA"
244,Kraków ul. Cechowa 57,"BABIEGO LATA 24, CECHOWA nieparzyste od 1 do 55 i parzyste od 2 do 70, ŁĘŻCE, MYŚLENICKA nieparzyste od 47 do 77 i parzyste od 42 do 60, STOJAŁOWSKIEGO nieparzyste od 33 do 41a, SZARYCH SZEREGÓW, WYŻYNNA nieparzyste do 9 i parzyste do 12"
245,Kraków ul. Rżącka 1,"BADURSKIEGO 1, 9, BEDNARSKA nieparzyste do 11, 15, 15a, 15b i parzyste do 24, BIERNATA Z LUBLINA, BŁOTNA, CIASNA, CZAJNA, HALLERA nieparzyste od 1 do 7 i parzyste od 2 do 14, KALINOWA, KLINIEC, KOSOCICKA nieparzyste od 85 i parzyste od 72, KSIĘDZA DŹWIGOŃSKIEGO, KRYSTYNA Z OSTROWA, ŁAMANA, MOKRA, NIEBIESKA nieparzyste od 1 do 9 i parzyste od 2 do 10, OBRONNA od 9, PODEDWORZE nieparzyste, PODLESIE, POWAŁY Z TACZEWA, PRZEWIEWNA, PODWÓRKOWA, PRZY KUŹNI, RŻĄCKA, SADKA, SŁONA WODA nieparzyste, SNOZY, SPORNA, SZPAKOWA, TYRANOWSKIEGO, ZYNDRAMA Z MASZKOWIC"
246,Kraków ul. Kamieńskiego 49,"ABRAHAMA nieparzyste, ANDRICIA, BŁAWATKOWA, BURACZANA, DAUNA nieparzyste od 33 i parzyste od 32, GÓRSKA, HELTMANA nieparzyste od 19 i parzyste od 70, KADENA-BANDROWSKIEGO, KAMIEŃSKIEGO nieparzyste od 31, LISA-KULI, LUBUSKA, MACEDOŃSKA 23, MALBORSKA nieparzyste od 35 do 63 i parzyste od 24 do 52, NADZIEJA, NOWOSĄDECKA 22, PIERACKIEGO, SZUKIEWICZA, ZANA"
247,Kraków ul. Malborska 98,"ALBAŃSKA nieparzyste od 1 do 5 i parzyste od 2 do 8, BIAŁORUSKA 36, GRYGLEWSKIEGO, KRAWIECKA, ŁABĘDZIA, MAKOWA, MALBORSKA nieparzyste od 65 i parzyste od 54, MOCHNACKIEGO, PAŃSKA od 43, POPRZECZNA, SKOWRONIA, SŁAWKA 41, 43, 45, SPORTOWA, GENERAŁA SUŁKOWSKIEGO, SZCZĘŚLIWA, SZKOLNA, ZABAWA, ZMARTWYCHWSTANIA PAŃSKIEGO"
248,Kraków ul. Malborska 98,"ANDRYCHOWSKA, GROMADY GRUDZIĄŻ, KARPIŃSKIEGO, ŁAPANOWSKA, ŁUŻYCKA od 1 do 41c, MARCOWA, MONTERSKA, NA ŁUKU, ONDRASZKA, OSSOWSKIEGO, PODGWIEZDNA, SEMPOŁOWSKIEJ, SŁAWKA parzyste od 54 do 62, TURNIEJOWA nieparzyste do 57 i parzyste do 60, WSPÓLNA od 22"
249,Kraków ul. Malborska 98,"BYSTRA, GMINNA, JASTRZĘBIA, KLONOWICA, KOTSISA, PSZENNA, PUSZKARSKA, GENERAŁA ROI (bez 4, 4a, 4b, 6), SŁAWKA nieparzyste od 1 do 39 i parzyste od 2 do 52, STRUMIENNA nieparzyste od 21 i parzyste od 16, WSPÓLNA od 1 do 21, ZIELONA"
250,Kraków ul. Sławka 10,HEILA
251,Kraków ul. Czarnogórska 14,"BIAŁORUSKA parzyste od 2 do 10, CZARNOGÓRSKA 15, 18, SERBSKA 1, 3, WŁOSKA 2B i nieparzyste od 1 do 11"
252,Kraków ul. Czarnogórska 14,"BIAŁORUSKA nieparzyste od 15 do 65, LIRNIKÓW, NOWOSĄDECKA parzyste od 46, POTURALSKIEGO, TRYBUNY LUDÓW"
253,Kraków ul. Czarnogórska 14,"CZARNOGÓRSKA nieparzyste do 9b, MACEDOŃSKA 6, SERBSKA 2, 4, 14, WŁOSKA 6, 8, 13, 15, 17, 19"
254,Kraków ul. Czarnogórska 14,"ALBAŃSKA nieparzyste od 7 i parzyste od 10, ALGIERSKA, CZARNOGÓRSKA parzyste do 8, ESTOŃSKA, LASZCZKI, NIEPOKÓLCZYCKIEGO, TRAWNIKI, WILGOTNA, WŁOSKA 6a, 6b, 8a, 8b, WOLNOŚCI"
255,Kraków ul. Bujaka 15,"BUJAKA (bez 14, 14a, 15, 16, 16a), ŁOWIENICKA, MYŚLENICKA parzyste od 34 do 40, PAGÓRKOWA, STOJAŁOWSKIEGO nieparzyste do 7"
256,Kraków ul. Bujaka 15,"BUJAKA 14, 14a, 15, 16, 16a, CHMIELNA, DALIOWA, GENERAŁA FILIPOWICZA, HERBERTA (bez 8, 10, 12, 14), OKOPOWA, STORCZYKOWA, ŻAKA"
257,Kraków ul. Bujaka 15,"PORUCZNIKA HALSZKI, WYSŁOUCHÓW nieparzyste do 3A"
258,Kraków ul. Bujaka 15,WITOSA
259,Kraków ul. Bujaka 15,TURNIEJOWA nieparzyste od 59 i parzyste od 62 (bez 72)
260,Kraków ul. Bujaka 15,WYSŁOUCHÓW nieparzyste od 11 do 27
261,Kraków ul. Stojałowskiego 31,"WYSŁOUCHÓW nieparzyste od 29 do 55, TURNIEJOWA 72"
262,Kraków ul. Stojałowskiego 31,"BOJKI, WYSŁOUCHÓW 44, 46"
263,Kraków ul. Stojałowskiego 31,WYSŁOUCHÓW parzyste od 16 do 42
264,Kraków ul. Stojałowskiego 31,"STOJAŁOWSKIEGO nieparzyste od 9 do 29, WYSŁOUCHÓW parzyste od 2 do 14"
265,Kraków ul. Dobczycka 20,GOŁAŚKA nieparzyste od 1 do 41
266,Kraków ul. Dobczycka 20,"BESKIDZKA parzyste, DOBCZYCKA, GOŁAŚKA parzyste od 2 do 20, PRZEKĄTNA, SANOCKA"
267,Kraków ul. Dobczycka 20,"SAS-ZUBRZYCKIEGO do 8, TARNOBRZESKA"
268,Kraków ul. Dobczycka 20,"BESKIDZKA nieparzyste, MADERA, MALWOWA, PIERZCHÓWKA nieparzyste od 5 i parzyste od 16, PRZYKOPY nieparzyste od 3 i parzyste od 6, SAS-ZUBRZYCKIEGO 9, 10"
269,Kraków ul. Sucharskiego 36,"AGATOWA, AMETYSTOWA, DOMAGAŁY, MAGAZYNOWA 5, NAD DRWINĄ, NEFRYTOWA, OSIEDLE KOLEJOWE, PÓŁŁANKI parzyste od 2 do 74 (bez 26), TABOROWA, TOPAZOWA"
270,Kraków ul. Sucharskiego 36,"HENRYKA I KAROLA CZECZÓW, MALACHITOWA, OPALOWA, ZŁOCIENIOWA nieparzyste od 21 i parzyste od 28"
271,Kraków ul. Weigla 2,"CZARNOCHOWICKA, FLANKA, GERBEROWA, GRZECHA, HABELI, HIACYNTOWA, HOYERA, JASIEŃSKIEGO, JĘDRZEJCZYKA, KAMELIOWA, KOKOTOWSKA, KSIĘDZA KUSIA, KWATERY, LETNIA, MOGIŁKI, OCHOCZA, OKRĘGLIK, POCHWALSKIEGO, POTRZASK, PRZEBIŚNIEGÓW, PRZYLASZCZKI, PRUSZYŃSKIEGO, SCHULZA, STĘPNIA, STOLARZA, SZYMKIEWICZA, TAŃSKIEGO, WOJCIECHA Z BRUDZEWA, ZAROSIE, ZALIPKI, ZARZYCKIEGO"
272,Kraków ul. Weigla 2,"BIERKOWSKIEGO, BIEŻANOWSKA parzyste od 234 do 248, GARDOWSKIEGO, KIEPURY, KLUSZEWSKIEGO, KOLONIJNA, KOREPTY od 1 do 22, KRZYMUSKIEGO, KURPIŃSKIEGO, KSIĘDZA PRAŁATA ŁACZKA, MADEJÓWKA, MAŁA GÓRA nieparzyste, MAŁKA, NAD SERAFĄ, NA JAZKACH, NOWAKA, POTRZEBOWSKIEGO, PRZECINEK, RAKUŚ, RYGIERA, SMOLENIA, STRYJEŃSKIEGO, SZASTERA, ŚWIDZIŃSKIEGO, WIELICKA parzyste od 248"
273,Kraków ul. Weigla 2,"BIEŻANOWSKA parzyste od 250, BOGUCICKA, BRACI JAMKÓW, DROŻDŻOWA, JAGLARZÓW, JAKUBCA, KŁAKA, KOPROWA, KOREPTY od 23, LIPOWSKIEGO, POD POMNIKIEM, KSIĘDZA POPIEŁUSZKI, PRONIA, PRZEŁAZEK, SUCHARSKIEGO, ŚLÓSARCZYKA, ŚWIEŻA, ŚLIWY, WEIGLA, ZAMŁYNIE, ZŁOCIENIOWA parzyste od 2 do 26 i nieparzyste od 1 do 19, ZOLLA"
274,Kraków ul. Bieżanowska 204,"BIEŻANOWSKA nieparzyste od 155 i parzyste od 128 do 232, BOCZNICA, DANALÓWKA (bez 37, 39, 41), DZIAŁKOWA, IMIELNA, KOMANDORA WROŃSKIEGO, MAGAZYNOWA 1C, LASKOWA, ŁAZY, OGÓRKOWA, PÓŁŁANKI nieparzyste od 1 do 31e, RIPPERÓW, STACYJNA"
275,Kraków ul. Telimeny 9,"BARBARY (bez 12), DUŻA GÓRA (bez 37, 39, 41), MAŁA GÓRA parzyste od 2 do 8, TELIMENY od 1 do 4"
276,Kraków ul. Telimeny 9,"OPTY, TELIMENY 20, 30a, 32 i nieparzyste od 5 do 33 (bez 31)"
277,Kraków ul. Telimeny 9,"BARBARY 12, ĆWIKLIŃSKIEJ, DUŻA GÓRA 37, 39, 41, TELIMENY 31"
278,Kraków ul. Aleksandry 17,"HELENY parzyste od 2 do 20, MAŁA GÓRA parzyste od 10 do 14E"
279,Kraków ul. Aleksandry 17,"ALEKSANDRY nieparzyste od 25 i parzyste od 24, HELENY parzyste od 22, KAIMSKA, MAŁA GÓRA 32, WIELICKA parzyste od 230 do 246"
280,Kraków ul. Aleksandry 17,MAŁA GÓRA parzyste od 16 (bez 32)
281,Kraków ul. Aleksandry 17,ALEKSANDRY od 1 do 7
282,Kraków ul. Aleksandry 17,"ALEKSANDRY od 9 do 23, JERZMANOWSKIEGO 31, PODŁĘSKA"
283,Kraków ul. Jerzmanowskiego 6,LILLI WENEDY (bez 1)
284,Kraków ul. Jerzmanowskiego 6,"JERZMANOWSKIEGO parzyste od 2 do 16, LILLI WENEDY 1"
285,Kraków ul. Jerzmanowskiego 6,"JERZMANOWSKIEGO parzyste od 18 do 26, TELIGI parzyste od 30"
286,Kraków ul. Jerzmanowskiego 6,"KONRADA WALLENRODA, REPUBLIKI KORCZAKOWSKIEJ, TELIGI nieparzyste i parzyste od 2 do 6"
287,Kraków ul. Kurczaba 15,KURCZABA nieparzyste
288,Kraków ul. Kurczaba 15,KURCZABA parzyste
289,Kraków ul. Kurczaba 15,TELIGI parzyste od 8 do 28
290,Kraków ul. Kurczaba 15,"JERZMANOWSKIEGO 35, 39 i parzyste od 28"
291,Kraków ul. Żabia 20,"BADURSKIEGO 13, 13c, 15, 15b, 16, 17, 17a, 17c, 19, JAKUBOWSKIEGO, KOSTANECKIEGO, KOZIETULSKIEGO, MEDYCZNA, OBRONNA od 1 do 8, KSIĘDZA ŚCIEGIENNEGO nieparzyste od 43 (bez 57, 69, 71a, 73) i parzyste od 54, WIELICKA nieparzyste od 261 do 265 i parzyste od 202 do 228, ŻABIA"
292,Kraków ul. Żabia 20,"KSIĘDZA ŚCIEGIENNEGO 57, 69, 71a, 73"
293,Kraków ul. Rydygiera 20,"CZERWIAKOWSKIEGO, KOSOCICKA nieparzyste od 1 do 71 i parzyste od 2 do 70a, SCHWEITZERA, WIELICKA nieparzyste od 269"
294,Kraków ul. Rydygiera 20,"JANA XXIII, KSIĘDZA PRYMASA WYSZYŃSKIEGO, RYDYGIERA, SŁONA WODA parzyste"
295,Kraków ul. Na Wrzosach 57,"BIEŻANOWSKA 78, 78a, 80, 80a, 82, 82a, 84, 84a, 84b, 86, 86b, 88, GÓRNIKÓW, JESIENNA, MUZYKÓW, NAD POTOKIEM, NA WRZOSACH nieparzyste od 55 i parzyste od 52, OKOCIMSKA, SNYCERSKA nieparzyste od 41 i parzyste od 42, KSIĘDZA ŚCIEGIENNEGO nieparzyste od 1 do 41 i parzyste od 2 do 52a"
296,Kraków ul. Popławskiego 17,"BIEŻANOWSKA nieparzyste od 71 do 153e, parzyste od 60 do 76 i od 90 do 126h, CZECHOWICZA, DARASZA, DUBOIS, KALLIMACHA, KARPACKA, MAŁKOWSKIEGO, MARZANNY, MŁODZIEŻY, MORAWIAŃSKIEGO, PODMIŁÓW, SMOLNA, SOBESTO, SOLARZY, UDZIELI"
297,Kraków ul. Popławskiego 17,"BALICKIEGO, BARDOWSKIEGO, BIEŻANOWSKA nieparzyste od 1 do 69a, parzyste od 2 do 58, BRATERSKA, CHŁOPSKA, GIERYMSKICH, KOLEJOWA (bez 4a), KONWALIOWA, LEGIONÓW, MAZURSKA, MIEROSŁAWSKIEGO, ROŻENA, RUCIANA, RYLSKIEGO, SACHAROWA, SIOSTRZANA, WIELICKA parzyste od 114 do 158, WOJNICKA, ZA LIPKAMI, ŻURAWIA"
298,Kraków ul. Popławskiego 17,"ANDRUSIKIEWICZA, BIELSKIEGO, GENERAŁA JASIŃSKIEGO, POPŁAWSKIEGO, PROSTA nieparzyste do 19 i parzyste do 16"
299,Kraków al. Dygasińskiego 15,"ALEJA DYGASIŃSKIEGO, GERSONA, KŁODZKA, LIBERA, NA WRZOSACH nieparzyste od 1 do 53 i parzyste od 2 do 50, PROMIENNA, PROSTA nieparzyste od 27 i parzyste od 20, SMOLARZY, SNYCERSKA nieparzyste od 1 do 39 i parzyste od 2 do 40, SZARA, ŚNIEŻNA, WIELICKA parzyste od 160 do 200, ŻNIWNA"
300,Kraków al. Dygasińskiego 15,"CZORSZTYŃSKA, JAROSŁAWSKA, NA KOZŁÓWCE 5, 13, 15, 17, 19, NIEDZICKA, NOWOSĄDECKA 5a, PROFESORA SEWERYNA, STATTLERA, WIELICKA nieparzyste od 143 do 223, WOLSKA, ZIELENIEC"
301,Kraków ul. Okólna 16,"FACIMIECH, OKÓLNA parzyste od 20 do 28, POLONIJNA, WIELICKA nieparzyste od 225 do 259"
302,Kraków ul. Okólna 16,"NA KOZŁÓWCE 14, 16, 24, 29, 31, 33, 41, WLOTOWA"
303,Kraków ul. Okólna 16,"NA KOZŁÓWCE 12, 12a, 20, OKÓLNA 1, 3, 7, 9, 11, 13"
304,Kraków ul. Spółdzielców 5,"OKÓLNA 2, 4, 5, 6, 8, 10, 12, 14, 16, 18, SPÓŁDZIELCÓW nieparzyste od 1 do 13"
305,Kraków ul. Spółdzielców 5,"NA KOZŁÓWCE 2, 4, 4a, 7, 8, 9, NOWOSĄDECKA 1, 3, 5, SPÓŁDZIELCÓW nieparzyste od 15 i parzyste"
306,Kraków ul. Spółdzielców 5,"NOWOSĄDECKA (bez 1, 3, 5, 5a, 22, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 72, 74, 78, 80, 82)"
307,Kraków ul. Saska 11,"HEWELIUSZA, KOŹLARSKA, KRZYWDA od 1 do 27, NOWOHUCKA nieparzyste od 67, PŁASZOWSKA od 1 do 38E, POWSTAŃCÓW WIELKOPOLSKICH nieparzyste od 13 i parzyste od 16A, SARMACKA, STRYCHARSKA, SZKLARSKA, WODNA od 24"
308,Kraków ul. Saska 11,"GROMADZKA, KRZYWDA od 28, PAPROCI, PŁASZOWSKA od 39, SASKA nieparzyste, STRÓŻA RYBNA"
309,Kraków ul. Myśliwska 64,"KOSZYKARSKA, NOWOHUCKA nieparzyste od 13b do 53, parzyste 92, 92A, KSIĘDZA TURKA"
310,Kraków ul. Myśliwska 64,"GUMNISKA, LASÓWKA, MYŚLIWSKA (bez parzystych od 70 do 78), ZADWORZE"
311,Kraków ul. Myśliwska 64,"KSIĘDZA STOSZKI, PRZEWÓZ nieparzyste od 1 do 55 i parzyste od 2 do 40D, SASKA parzyste, SZCZECIŃSKA, SZCZYGLA"
312,Kraków ul. Myśliwska 64,"LIPSKA nieparzyste, MAŁY PŁASZÓW, MYŚLIWSKA parzyste od 70 do 78"
313,Kraków ul. Goszczyńskiego 44,"BATKI, GOSZCZYŃSKIEGO, IŁOWA, KACZA, KOLEJOWA 4a, LIPSKA parzyste, ŁANOWA (bez 39, 41, 41a, 41b, 43, 43d, 43e), RZEBIKA, ŻOŁNIERSKA, ŻEŃCÓW, ŹRÓDLANA"
314,Kraków ul. Goszczyńskiego 44,"BAGROWA, BISKUPIŃSKA, BRANDLA, DANALÓWKA 37, 39, 41, PUŁKOWNIKA DĄBKA, GLINIANA, GOLIKÓWKA nieparzyste od 1 do 89a i parzyste od 2 do 36, GROCHOWA, KOSIARZY, KOZIA, MOTYLA, MIERZEJA WIŚLANA, OBROŃCÓW MODLINA, SIEMIENOWICZA, SUDECKA, SURZYCKIEGO, WĘGLARSKA"
315,Kraków ul. Golikówka 52,"AGAWY, ALBATROSÓW, BOTEWA, BUKOWA, GOLIKÓWKA nieparzyste od 91 i parzyste od 38, JEŻÓW, KAWOWA, KORMORANÓW, KSIĘDZA TARGOSZA, PÓŁŁANKI nieparzyste od 33 i parzyste od 78 do 108, PRZY CEGIELNI, RĄCZNA nieparzyste od 1 do 25c i parzyste od 2 do 42, RYBITWY, SKROMNA, SZPARAGOWA, STRAŻACKA"
316,Kraków ul. Wrobela 79,"BARTNIKÓW, PUŁKOWNIKA BARTY, BUGAJ, CZECZOTTA, DYMNIK, HUSARSKA, KMINKOWA, KOTÓWKA, ŁUTNIA, OSIKOWA, POD GWIAZDAMI, POD WIERZBAMI, RĄCZNA nieparzyste od 27 i parzyste od 44, TRACZY, TYRCZANKA, WROBELA"
317,Kraków ul. Krasickiego 34,"CZACKIEGO, KALWARYJSKA nieparzyste od 61 i parzyste od 70, KONOPNICKIEJ parzyste od 38 do 94, MITERY, ORAWSKA, PRZEDWIOŚNIE, ŚLISKA, SPISKA, SZAFLARSKA"
318,Kraków ul. Krasickiego 34,"GENERAŁA KUTRZEBY, KALWARYJSKA nieparzyste od 37 do 59 i parzyste od 40 do 68, KRASICKIEGO, SMOLKI od 7"
319,Kraków ul. Sokolska 13,"DŁUGOSZA, KALWARYJSKA nieparzyste od 9 do 35 i parzyste od 10 do 38, LEGIONÓW PIŁSUDSKIEGO parzyste, PLAC SERKOWSKIEGO, REJTANA, SOKOLSKA, WŁADYSŁAWA WARNEŃCZYKA"
320,Kraków ul. Zamoyskiego 100,"CZYŻÓWKA, KALWARYJSKA 35a, KRZEMIONKI, PODSKALE, PRZEŁĘCZ, REDEMPTORYSTÓW, SMOLKI od 1 do 6, STROMA, ZAMOYSKIEGO od 8"
321,Kraków Rynek Podgórski 1,"BRODZIŃSKIEGO, CELNA, KALWARYJSKA od 1 do 8, LEGIONÓW PIŁSUDSKIEGO nieparzyste, LIMANOWSKIEGO od 1 do 4, PLAC NIEPODLEGŁOŚCI, PRZY MOŚCIE, RYNEK PODGÓRSKI, STAROMOSTOWA, ZAMOYSKIEGO od 1 do 7"
322,Kraków al. Dembowskiego 12,"ALEJA DEMBOWSKIEGO, ALEJA POWSTAŃCÓW ŚLĄSKICH, KAMIEŃSKIEGO od 1 do 20, KRAKA, PARKOWA od 11, PLAC LASOTY, RADOSNA"
323,Kraków ul. Limanowskiego 60/62,"ALEJA POD KOPCEM, KOPIEC KRAKUSA, LANCKOROŃSKA, LUDOWA, MARYEWSKIEGO, PLAC PRZYSTANEK, POWSTAŃCÓW WIELKOPOLSKICH nieparzyste od 1 do 9 i parzyste od 2 do 14, ROBOTNICZA, SWOSZOWICKA, WAPIENNA, WIELICKA nieparzyste od 1 do 57 i parzyste od 2 do 70, ZA TOREM, ZAMKNIĘTA"
324,Kraków ul. Limanowskiego 60/62,"DĄBRÓWKI, JANOWA WOLA, KĄCIK, LWOWSKA nieparzyste od 1 do 17, 25 i parzyste od 2 do 8, NA ZJEŹDZIE, PLAC BOHATERÓW GETTA, SOLNA, TARGOWA, TRAUGUTTA"
325,Kraków ul. Limanowskiego 60/62,"DĄBROWSKIEGO, HETMAŃSKA, JÓZEFIŃSKA nieparzyste od 43, LIMANOWSKIEGO nieparzyste od 25 i parzyste od 36, LWOWSKA nieparzyste od 43 do 49 i parzyste od 10 do 42, ŚWIĘTEJ KINGI, TARNOWSKIEGO"
326,Kraków ul. Limanowskiego 60/62,"DEKERTA, HERLINGA-GRUDZIŃSKIEGO, KIEŁKOWSKIEGO, KLIMECKIEGO, LIPOWA, MYDLARSKA, NA DOŁACH, NIWY, NA ZAKOLU WISŁY, PANA TADEUSZA, PORTOWA, PRZEMYSŁOWA, ROMANOWICZA, STOCZNIOWCÓW, ŚLUSARSKA, WAŁOWA, ZABŁOCIE, ZAUŁEK"
327,Kraków ul. Potebni 7,"CZARNIECKIEGO (bez 3), KRAKUSA od 1 do 11, PARKOWA od 1 do 10a, PORUCZNIKA STAWARZA, POTEBNI, RĘKAWKA, ŚWIĘTEGO BENEDYKTA, TATRZAŃSKA, WĘGIERSKA nieparzyste od 1 do 9 i parzyste od 2 do 12"
328,Kraków ul. Józefińska 10,"JÓZEFIŃSKA nieparzyste od 1 do 41 i parzyste od 2, KRAKUSA nieparzyste od 13 i parzyste od 12, LIMANOWSKIEGO nieparzyste od 5 do 23 i parzyste od 6 do 34, NADWIŚLAŃSKA, PIWNA, WĘGIERSKA nieparzyste od 11 i parzyste od 14"
329,Kraków ul. Wielicka 73,"ABRAHAMA 6, DAUNA nieparzyste do 23 i parzyste do 22, DREWNIANA, DWORCOWA parzyste, GIPSOWA, HELTMANA nieparzyste do 15a i parzyste do 58, JEROZOLIMSKA, KAMIEŃSKIEGO 36, LECHA, ŁUCZNIKÓW, MALBORSKA parzyste do 18, MIECZNIKÓW, PAŃSKA nieparzyste do 27 i parzyste do 20a, SIEMOMYSŁA, STOIGNIEWA, TARNOWSKA, UŚMIECH, WIELICKA nieparzyste od 59 do 115, WODNA nieparzyste od 1 do 23 i parzyste od 2 do 10"
330,Kraków ul. Wielicka 28a,"DWORCOWA nieparzyste, DWORZEC, PROKOCIMSKA, WIELICKA parzyste od 72 do 112"
331,Kraków al. Skrzyneckiego 12,"ALEJA GENERAŁA SKRZYNECKIEGO, BISKUPA HODURA, BONARKA, BROŻKA nieparzyste, GŁOGOWSKA, GRZYBKI, KOBIERZYŃSKA parzyste od 2 do 14, KSIĘDZA TISCHNERA od 10, ŁAGIEWNICKA, RYDLÓWKA, RZEMIEŚLNICZA, SZAFRANA, WADOWICKA"
332,Kraków ul. Centralna 39,"ALEJA POKOJU nieparzyste od 71 i parzyste od 58, CENTRALNA 5, 28, 30, 34, KAMIONKA, NA ŁĄKACH, NOWOHUCKA 1, 3, WOŹNICÓW"
333,Kraków ul. Centralna 39,"CENTRALNA 32 i od 38, GALICYJSKA, SIKORKI, SOŁTYSOWSKA od 1 do 47 (bez 13D)"
334,Kraków ul. Centralna 39,"CENTRALNA 3, 20, 22, 24, 26, DOLNA, DOLNOMŁYŃSKA, GAŁCZYŃSKIEGO, KWIATÓW POLSKICH, NARCIARSKA, NASTROJOWA, POLESKA, STRUMYK, TABACZNA, TUWIMA"
335,Kraków os. Kolorowe 29,"ALEJA JANA PAWŁA II parzyste od 128 do 176, BIEŃCZYCKA 1, 3, JUTRZENKA, KSIĘDZA ZASTAWNIAKA, ŚLIWKOWA, WĘŻYKA"
336,Kraków os. Kolorowe 29,"ALEJA JANA PAWŁA II parzyste od 178 do 196, BISKUPA PADNIEWSKIEGO, BISKUPA TOMICKIEGO 4, 7, 13, 13A, 17, 19"
337,Kraków os. 2 Pułku Lotniczego 21,"BIEŃCZYCKA 9, 11, 13, 13a, 13b, 15, 17, OSIEDLE 2 PUŁKU LOTNICZEGO od 1 do 11A"
338,Kraków- os. 2 Pułku Lotniczego 21,"ALEJA JANA PAWŁA II nieparzyste od 31 do 43 i parzyste od 68A do 92, BOGUSZÓWKA, MARKOWSKIEGO 4, 6, 8, 10, OSIEDLE 2 PUŁKU LOTNICZEGO od 41 do 44, PROFESORA ŻYCZKOWSKIEGO, WYSOCKIEJ"
339,Kraków os. 2 Pułku Lotniczego 21,OSIEDLE 2 PUŁKU LOTNICZEGO od 45
340,Kraków os. 2 Pułku Lotniczego 21,"ORLIŃSKIEGO, OSIEDLE AVIA, OSIEDLE 2 PUŁKU LOTNICZEGO od 12 do 40"
341,Kraków os. Dywizjonu 303 66,OSIEDLE DYWIZJONU 303 od 18 do 28
342,Kraków os. Dywizjonu 303 66,"OSIEDLE DYWIZJONU 303 od 30 do 44, 76"
343,Kraków os. Dywizjonu 303 66,OSIEDLE DYWIZJONU 303 od 45 do 51
344,Kraków os. Dywizjonu 303 66,"OSIEDLE DYWIZJONU 303 od 52 do 64A, 67, 75"
345,Kraków os. Dywizjonu 303 66,OSIEDLE DYWIZJONU 303 od 1 do 10
346,Kraków os. Dywizjonu 303 66,"OSIEDLE DYWIZJONU 303 od 11 do 17, 66a"
347,Kraków ul. Na Załęczu 2,"ALEJA POKOJU nieparzyste od 51 do 57, CICHOCIEMNYCH AK, CIEPŁOWNICZA, CUPLOWA, DO WISŁY, HABINA, ISEP, LONGINUSA PODBIPIĘTY nieparzyste do 55A (bez 15) i parzyste do 90B, ŁĘGOWA, NA ZAŁĘCZU, NIEPOKALANEJ PANNY MARII, NIEPOŁOMSKA, ODMĘTOWA parzyste od 88B, 107, OGŁĘCZYZNA, OSIEDLE, PLAC BŁONIE-BESZCZ, PODLESKA, SIERPOWA, SIWKA, SKRĘCONA, SOCHY, STRĘCKA, SZAFRAŃSKA, WIKLINOWA, ZAJĘCZA, ZAPUSTA"
348,Kraków ul. Skarżyńskiego 1,"OSIEDLE AKADEMICKIE, SKARŻYŃSKIEGO"
349,Kraków os. Kombatantów 13,"CZAPLICKIEGO, OSIEDLE KOMBATANTÓW od 1 do 15"
350,Kraków os. Tysiąclecia 15,OSIEDLE TYSIĄCLECIA od 1 do 14
351,Kraków os. Tysiąclecia 15,OSIEDLE TYSIĄCLECIA od 15 do 27
352,Kraków os. Tysiąclecia 15,OSIEDLE TYSIĄCLECIA od 28 do 56
353,Kraków os. Tysiąclecia 57,"MIŚNIEŃSKA od 72 do 85, OSIEDLE TYSIĄCLECIA od 57"
354,Kraków os. Tysiąclecia 57,OSIEDLE OŚWIECENIA od 1 do 8 i od 14 do 17
355,Kraków os. Oświecenia 30,"OSIEDLE OŚWIECENIA 40, 42, 43 i od 46"
356,Kraków os. Oświecenia 30,"ARCTA, OSIEDLE OŚWIECENIA od 35 do 39, 41"
