Nr,Siedziba,Typ,,Granice obwodu głosowania
244,"Szkoła Podstawowa Nr 124, Kraków Weigla 2",Powszechny,Tak,"Bieżanowska parzyste od 250, Bogucicka, Braci Jamków, Drożdżowa, Jaglarzów, Jakubca, Kłaka, Koprowa, Korepty od 23, Lipowskiego, Pod Pomnikiem, Księdza Popiełuszki, Pronia, Ślósarczyka, Świeża, Śliwy, Weigla, Zamłynie, Zolla"
245,"Szkoła Podstawowa Nr 111, Kraków Bieżanowska 204",Powszechny,Nie,"Bieżanowska nieparzyste od 155 i parzyste od 126A do 232, Bieżanów blok PKP, Bocznica, Danalówka bez Nr 37, 39, 41, Działkowa, Imielna, Komandora Wrońskiego, Laskowa, Łazy, Ogórkowa, Półłanki nieparzyste od 1 do 31 e, Ripperów, Stacyjna"
246,"Zespół Szkół Ogólnokształcących Nr 12, Kraków Telimeny 9",Powszechny,Nie,"Barbary (bez 12), Duża Góra (bez 37, 39, 41), Mała Góra parzyste od 2 do 8, Telimeny od 1 do 4"
247,"Zespół Szkół Ogólnokształcących Nr 12, Kraków Telimeny 9",Powszechny,Nie,"Telimeny 20, 32 i nieparzyste od 5 do 33 (bez 31) , Opty"
248,"Filia Szkoły Podstawowej Nr 24, Kraków Aleksandry 19",Powszechny,Nie,"Heleny parzyste od 2 do 20, Mała Góra parzyste od 10 do 14"
249,"Szkoła Podstawowa Nr 24, Kraków Aleksandry 17",Powszechny,Nie,"Aleksandry 24, 24 a, 24 b, 24 d, 24 e, 24 g, 24 h, 24 i, 24 j, 24 k, 26, 28, 38 i nieparzyste od 25, Heleny parzyste od 22, Kaimska, Mała Góra 32, Wielicka parzyste od 230 do 246"
250,"Szkoła Podstawowa Nr 24, Kraków Aleksandry 17",Powszechny,Nie,Mała Góra parzyste od 16 (bez nr 32)
251,"Szkoła Podstawowa Nr 24, Kraków Aleksandry 17",Powszechny,Nie,Aleksandry od 1 do 7
252,"Szkoła Podstawowa Nr 24, Kraków Aleksandry 17",Powszechny,Nie,"Aleksandry od 9 do 23, Jerzmanowskiego 31, Podłęska"
253,Zespół Szkół Ogólnokształcących Nr 12 Kraków Telimeny 9,Powszechny,Tak,"Ćwiklińskiej, Barbary 12, Duża Góra 37, 39, 41, Telimeny 31"
254,"Szkoła Podstawowa Nr 41, Kraków Jerzmanowskiego 6",Powszechny,Nie,Lilli Wenedy (bez 1)
255,"Szkoła Podstawowa Nr 41, Kraków Jerzmanowskiego 6",Powszechny,Nie,"Jerzmanowskiego parzyste od 2 do 16, Lilli Wenedy 1"
256,"Szkoła Podstawowa Nr 41, Kraków Jerzmanowskiego 6",Powszechny,Nie,"Jerzmanowskiego parzyste od 18 do 26, Teligi parzyste od 30"
257,"Przedszkole Samorządowe Nr 35, Kraków Lilli Wenedy 7",Powszechny,Nie,"Konrada Wallenroda, Teligi parzyste od 2 do 6 i nieparzyste od 1"
258,"Szkoła Podstawowa Nr 117, Kraków Kurczaba 15",Powszechny,Nie,Kurczaba nieparzyste
259,"Szkoła Podstawowa Nr 117, Kraków Kurczaba 15",Powszechny,Nie,Kurczaba parzyste
260,"Szkoła Podstawowa Nr 117, Kraków Kurczaba 15",Powszechny,Nie,Teligi parzyste od 8 do 28
261,"Szkoła Podstawowa Nr 117, Kraków Kurczaba 15",Powszechny,Nie,"Jerzmanowskiego parzyste od 28 i nieparzyste 35, 39"
262,"Zespół Szkół Ogólnokształcących Integracyjnych Nr 4, Kraków Żabia 20",Powszechny,Nie,"Badurskiego 13, 15, 17, 17a, 19 , Jakubowskiego, Kostaneckiego, Kozietulskiego, Medyczna, Obronna od 1 do 8, Księdza Ściegiennego parzyste od 54 i nieparzyste od 43 (bez 57, 69, 71a, 73), Wielicka parzyste od 202 do 228 i nieparzyste od 261 do 265, Żabia"
263,"Zespół Szkół Ogólnokształcących Integracyjnych Nr 4, Kraków Żabia 20",Powszechny,Nie,"Księdza Ściegiennego 57, 69, 71a, 73"
264,"Zespół Szkół Ogólnokształcących Nr 15, Kraków Rydygiera 20",Powszechny,Nie,"Czerwiakowskiego, Kosocicka parzyste od 2 do 70 a, nieparzyste od 1 do 71, Schweitzera, Wielicka nieparzyste od 269"
265,"Zespół Szkół Ogólnokształcących Nr 15, Kraków Rydygiera 20",Powszechny,Nie,"Jana XXIII, Rydygiera, Księdza Prymasa Wyszyńskiego, Słona Woda parzyste"
266,"Młodzieżowy Dom Kultury - Filia, Kraków Na Wrzosach 57",Powszechny,Nie,"Bieżanowska 78, 78 a, 80, 80 a, 82, 82 a, 84,84a, 84 b, 86, 86 b, 88, Górników, Jesienna, Muzyków, Nad Potokiem, Na Wrzosach nieparzyste od 55 i parzyste od 52, Okocimska, Snycerska nieparzyste od 41 i parzyste od 42, Księdza Ściegiennego nieparzyste od 1 do 41 i parzyste od 2 do 52 a"
267,"Szkoła Podstawowa Nr 61, Kraków Popławskiego 17",Powszechny,Nie,"Andrusikiewicza, Bielskiego, Bieżanowska nieparzyste od 71 do 153 e, parzyste od 60 do 126 h, (bez 78, 78 a, 80, 80 a, 82, 82 a, 84, 86, 88), Czechowicza, Darasza, Dubois, Generała Jasińskiego (bez 28, 30, 32, 34), Gierymskich parzyste, Kallimacha, Karpacka, Legionów, Małkowskiego, Marzanny, Młodzieży, Morawiańskiego, Podmiłów, Smolna, Sobesto, Solarzy, Udzieli, Wojnicka"
268,"Szkoła Podstawowa Nr 61, Kraków Popławskiego 17",Powszechny,Nie,"Balickiego, Bardowskiego, Bieżanowska nieparzyste od 1 do 69 a, parzyste od 2 do 58, Braterska, Chłopska, Gierymskich nieparzyste, Kolejowa (bez Nr 4a), Konwaliowa, Mazurska, Mierosławskiego, Rożena, Ruciana, Rylskiego, Sacharowa, Siostrzana, Wielicka parzyste od 114 do 158, Za Lipkami, Żurawia"
269,Szkoła Podstawowa Nr 61 Kraków Popławskiego 17,Powszechny,Nie,"Generała Jasińskiego 28, 30, 32, 34"
270,"Zespół Szkół Ogólnokształcących Nr 10, Kraków Al. Dygasińskiego 15",Powszechny,Tak,"Aleja Dygasińskiego, Gersona, Kłodzka, Libera, Na Wrzosach nieparzyste od 1 do 53 i parzyste od 2 do 50, Popławskiego Wacława, Promienna, Prosta, Smolarzy, Snycerska nieparzyste od 1 do 39 i parzyste od 2 do 40, Szara, Śnieżna, Wielicka parzyste od 160 do 200, Żniwna"
271,"Zespół Szkół Ogólnokształcących Nr 10, Kraków Al. Dygasińskiego 15",Powszechny,Tak,"Czorsztyńska, Jarosławska, Na Kozłówce 5, 13, 15, 17, 19, Niedzicka, Nowosądecka 5a, Profesora Seweryna, Stattlera, Wielicka nieparzyste od 143 do 223, Wolska, Zieleniec"
272,"Szkoła Podstawowa Nr 123, Kraków Okólna 16",Powszechny,Tak,"Facimiech, Okólna parzyste od 20 do 28, Polonijna, Wielicka nieparzyste od 225 do 259"
273,"Szkoła Podstawowa Nr 123, Kraków Okólna 16",Powszechny,Tak,"Na Kozłówce 14, 16, 24, 29, 31, 33, 41, Wlotowa"
274,"Przedszkole Samorządowe Nr 36, Kraków Okólna 18",Powszechny,Nie,"Na Kozłówce 12, 12 a, 20, Okólna 1, 3, 7, 9, 11, 13"
275,"Przedszkole Samorządowe Nr 87, Kraków Spółdzielców 7",Powszechny,Nie,"Okólna 2, 4, 5, 6, 8, 10, 12, 14, 16, 18, Spółdzielców nieparzyste od 1 do 13"
276,"Gimnazjum Nr 31, Kraków Spółdzielców 5",Powszechny,Tak,"Na Kozłówce 2, 4, 4 a, 7, 8, 9, Nowosądecka 1, 3, 5, Spółdzielców 2, 4, 6, 8, 10, 12, 15, 15 a,17"
277,"Gimnazjum Nr 31, Kraków Spółdzielców 5",Powszechny,Nie,"Nowosądecka (bez 1, 3, 5) oraz bez (22, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 72, 74, 78, 82)"
278,"Przedszkole Samorządowe Nr 11, Kraków Saska 11",Powszechny,Nie,"Gromadzka, Heweliusza, Koźlarska, Krzywda, Nowohucka 67, 69, 90, 92 ,92 a, Paproci, Płaszowska, Powstańców Wielkopolskich parzyste od 16 i nieparzyste od 11, Pułkownika Kuklińskiego ,Sarmacka, Saska nieparzyste, Strycharska, Stróża Rybna, Szklarska, Wodna parzyste od 12 i nieparzyste od 17"
279,"Przedszkole Samorządowe Nr 11, Kraków Saska 11",Powszechny,Nie,"Koszykarska, Nowohucka 13b, 33, 37, 39, 41, 43, 45, 47, 49, 51, 53, Księdza Turka"
280,"Szkoła Podstawowa Nr 47, Kraków Myśliwska 64",Powszechny,Nie,"Gumniska, Księdza Stoszki, Lasówka, Myśliwska (bez parzystych od 70 do 78), Przewóz nieparzyste od 1 do 43, 53, 55 i parzyste od 2 do 36, Saska parzyste, Szczecińska, Szczygla, Zadworze"
281,"Szkoła Podstawowa Nr 47, Kraków Myśliwska 64",Powszechny,Nie,"Lipska nieparzyste, Mały Płaszów, Myśliwska parzyste od 70 do 78"
282,"Zespół Szkół Zawodowych Nr 3, Kraków Goszczyńskiego 44",Powszechny,Nie,"Batki, Goszczyńskiego, Iłowa, Kacza, Kolejowa 4a, Lipska parzyste, Łanowa (bez 39 i 41), Rzebika, Żołnierska, Żeńców, Źródlana"
283,"Zespół Szkół Zawodowych Nr 3, Kraków Goszczyńskiego 44",Powszechny,Nie,"Bagrowa, Biskupińska, Brandla, Danalówka 37, 39, 41, Pułkownika Dąbka, Gliniana, Golikówka nieparzyste od 1 do 89 i parzyste od 2 do 36, Grochowa , Kosiarzy, Kozia, Motyla, Mierzeja Wiślana, Obrońców Modlina, Siemienowicza, Sudecka, Surzyckiego, Węglarska"
284,"Szkoła Podstawowa Nr 65, Kraków Golikówka 52",Powszechny,Nie,"Agawy, Albatrosów, Botewa, Golikówka nieparzyste od 91 i parzyste od 38, Jeżów, Kawowa, Kormoranów, Księdza Targosza, Półłanki nieparzyste od 33 i parzyste od 78 do108, Przy Cegielni, Rączna nieparzyste od 1 do 25 c, parzyste od 2 do 42, Rybitwy, Skromna, Szparagowa, Strażacka"
285,"Szkoła Podstawowa Nr 137, Kraków Wrobela 79",Powszechny,Tak,"Bartników, Pułkownika Barty, Bugaj, Czeczotta, Dymnik, Husarska, Kminkowa, Kotówka, Łutnia, Osikowa, Pod Gwiazdami, Pod Wierzbami, Rączna parzyste od 44 i nieparzyste od 27, Traczy, Tyrczanka, Wrobela"
286,"Szkoła Podstawowa Nr 26, Kraków Krasickiego 34",Powszechny,Tak,"Czackiego, Kalwaryjska nieparzyste od 61 i parzyste od 70, Konopnickiej parzyste od 38 do 94, Mitery, Orawska, Przedwiośnie, Śliska , Spiska, Szaflarska"
287,"Szkoła Podstawowa Nr 26, Kraków Krasickiego 34",Powszechny,Tak,"Generała Kutrzeby, Kalwaryjska nieparzyste od 37 do 59 i parzyste od 40 do 68, Krasickiego, Smolki od 7"
288,"Zespół Ekonomiki Oświaty Kraków - Południe, Kraków Sokolska 13",Powszechny,Nie,"Długosza, Kalwaryjska nieparzyste od 9 do 35 i parzyste od 10 do 38, Legionów Piłsudskiego parzyste, Plac Serkowskiego, Rejtana, Sokolska, Władysława Warneńczyka"
289,"Zespół Szkół Ogólnokształcących Nr 4, Kraków Krzemionki 11",Powszechny,Nie,"Czyżówka, Krzemionki, Podskale, Przełęcz, Redemptorystów, Smolki od 1 do 6, Stroma, Zamoyskiego od 8"
290,"Urząd Miasta Krakowa, Kraków Rynek Podgórski 1",Powszechny,Tak,"Brodzińskiego, Celna, Kalwaryjska od 1 do 8, Legionów Piłsudskiego nieparzyste, Limanowskiego od 1 do 4, Plac Niepodległości, Przy Moście, Rynek Podgórski, Staromostowa, Zamoyskiego od 1 do 7"
291,"Szkoła Podstawowa Nr 29, Kraków Al. Dembowskiego 12",Powszechny,Nie,"Aleja Dembowskiego, Aleja Powstańców Śląskich, Kamieńskiego od 1 do 20, Kraka, Parkowa od 11 , Plac Lasoty, Radosna"
292,"Gimnazjum Nr 35, Kraków Limanowskiego 60/62",Powszechny,Nie,"Aleja Pod Kopcem, Kopiec Krakusa, Lanckorońska, Ludowa, Maryewskiego, Plac Przystanek, Powstańców Wielkopolskich parzyste od 2 do 14 i nieparzyste od 1 do 9, Robotnicza, Swoszowicka, Wapienna, Wielicka nieparzyste od 1 do 57 i parzyste od 2 do 70, Za Torem, Zamknięta"
293,"Gimnazjum Nr 35, Kraków Limanowskiego 60/62",Powszechny,Nie,"Dąbrówki, Janowa Wola, Kącik, Lwowska nieparzyste od 1 do 17, 25 i parzyste od 2 do 8, Na Zjeździe, Plac Bohaterów Getta, Solna, Targowa, Traugutta"
294,"Gimnazjum Nr 35, Kraków Limanowskiego 60/62",Powszechny,Nie,"Dąbrowskiego, Hetmańska, Józefińska nieparzyste od 43, Limanowskiego nieparzyste od 25 i parzyste od 36, Lwowska parzyste od 10 do 42 i nieparzyste od 43 do 49, Świętej Kingi, Tarnowskiego"
295,"Gimnazjum Nr 34, Kraków Potebni 7",Powszechny,Nie,"Czarnieckiego (bez 3), Krakusa od 1 do 11, Parkowa od 1 do 10a, Porucznika Stawarza, Potebni, Rękawka, Świętego Benedykta, Tatrzańska, Węgierska nieparzyste od 1 do 9 i parzyste od 2 do 12"
296,"Szkoła Muzyczna I Stopnia, Kraków Józefińska 10",Powszechny,Nie,"Józefińska nieparzyste od 1 do 41 i parzyste od 2, Krakusa nieparzyste od 13 i parzyste od 12, Limanowskiego nieparzyste od 5 do 23 i parzyste od 6 do 34, Nadwiślańska, Piwna, Węgierska parzyste od 14 i nieparzyste od 11"
297,"Przedszkole Samorządowe Nr 91, Kraków Dekerta 18",Powszechny,Nie,"Dekerta, Herlinga-Grudzińskiego, Kiełkowskiego, Klimeckiego, Lipowa, Mydlarska, Na Dołach, Niwy, Na Zakolu Wisły, Pana Tadeusza, Portowa, Przemysłowa, Romanowicza, Stoczniowców, Ślusarska, Wałowa, Zabłocie, Zaułek"
298,"Niepubliczny Zakład Opieki Zdrowotnej Krakowskie Centrum Terapii Uzależnień, Kraków Wielicka 73",Powszechny,Nie,"Abrahama 6, Drewniana, Dworcowa parzyste, Jerozolimska, Siemomysła nieparzyste, Wielicka nieparzyste od 59 do 95 i 101, Wodna parzyste od 2 do 10 i nieparzyste od 1 do 15A"
299,"Spółdzielnia Mieszkaniowa ""Kabel"" Sala Konferencyjna, Kraków Wielicka 76",Powszechny,Nie,"Dworcowa nieparzyste, Dworzec, Prokocimska, Wielicka parzyste od 72 do 112"
300,"Zespół Szkół Mechanicznych Nr 2, Kraków Al. Skrzyneckiego 12",Powszechny,Nie,"Aleja Generała Skrzyneckiego, Biskupa Hodura, Bonarka, Brożka 1, 3, 85, Głogowska, Grzybki, Kobierzyńska 2,4,4A,6,14, Księdza Tischnera, Łagiewnicka, Rydlówka, Rzemieślnicza, Szafrana, Wadowicka"
301,"Szkoła Podstawowa Nr 156, Kraków Centralna 39",Powszechny,Nie,"Aleja Pokoju 58, 60,71, 78, 80, 84, 81, 87, 89, 90, Centralna (bez 3, 20, 22, 24, 26), Kamionka , Na Łąkach 2, 7 18, 22, Nowohucka 1, 3, Sołtysowska od 1 do 47 ( bez 13D), Woźniców, Sikorki"
302,"Szkoła Podstawowa Nr 156, Kraków Centralna 39",Powszechny,Nie,"Centralna 3, 20, 22, 24, 26, Dolna, Dolnomłyńska, Gałczyńskiego, Kwiatów Polskich, Ławnicza, Narciarska, Nastrojowa, Poleska, Strumyk, Tabaczna, Tuwima"
303,"Przedszkole Samorządowe Nr 64, Kraków Al. Jana Pawła II 192",Powszechny,Nie,"Aleja Jana Pawła II parzyste od 128 do 196, Bieńczycka 1, 3,Biskupa Tomickiego 4,13,13A,17,19 Jutrzenka, Księdza Józefa Zastawniaka, Śliwkowa, Wężyka"
304,"Szkoła Podstawowa Nr 155, Kraków os. II Pułku Lotniczego 21",Powszechny,Nie,"Bieńczycka 9, 11, 13, 13 a, 13 b, 15, 17, Osiedle 2 Pułku Lotniczego od 1 do 11"
305,"Szkoła Podstawowa Nr 155, Kraków os. II Pułku Lotniczego 21",Powszechny,Nie,"Aleja Jana Pawła II 68 a, 72, 78 ,78 a, 80, 82, 84, 84 c,87, 88, 90, 92, 96, 98, 102, 104, 106, 108, 114, 116, 118, 122, 124, 126 , Boguszówka, Markowskiego 4,6,8,10, Osiedle 2 Pułku Lotniczego od 41 do 51, Wysockiej"
306,"Żłobek Samorządowy Nr 12, Kraków os. II Pułku Lotniczego 23",Powszechny,Nie,Osiedle 2 Pułku Lotniczego od 12 do 40
307,"Zespół Szkół Ogólnokształcących Nr 14, Kraków Os. Dywizjonu 303, bl.66",Powszechny,Tak,"Osiedle Dywizjonu 303 od 18 do 44, 68 do 76 (bez 75)"
308,"Zespół Szkół Ogólnokształcących Nr 14, Kraków Os. Dywizjonu 303, bl. 66",Powszechny,Tak,Osiedle Dywizjonu 303 od 45 do 51
309,"Zespół Szkół Ogólnokształcących Nr 14, Kraków Os. Dywizjonu 303, bl. 66",Powszechny,Tak,"Osiedle Dywizjonu 303 od 52 do 58,62, 62 a, 63, 64, 67, 75"
310,"Przedszkole Samorządowe Nr 182, Kraków Os. Dywizjonu 303, bl. 12",Powszechny,Nie,Osiedle Dywizjonu 303 od 1 do 10
311,"Przedszkole Samorządowe Nr 182, Kraków Os. Dywizjonu 303, bl. 12",Powszechny,Nie,Osiedle Dywizjonu 303 od 11 do 17
312,"Urząd Miasta Krakowa Archiwum, Kraków Na Załęczu 3",Powszechny,Nie,"Cichociemnych AK, Ciepłownicza, Cuplowa, Do Wisły, Habina, Isep, Longinusa Podbipięty 1,19,19a,21,21a,64,74,78c,d,e,80b,82b,86 Łęgowa, Na Załęczu, Niepokalanej Panny Marii , Niepołomska,Odmętowa Nr 14,16,96,98 Ogłęczyzna, Osiedle, Plac Błonie - Beszcz, Podleska, Sierpowa, Siwka, Skręcona, Stręcka, Szafrańska, Wiklinowa, Zajęcza, Zapusta, Zatyka Ziarkowa 4,8"
313,"Międzynarodowe Centrum Kształcenia i Studiów Urbanistycznych Politechniki Krakowskiej, Kraków Skarżyńskiego 1",Powszechny,Nie,"Akacjowa 10, 12, Cieślewskiego 1,3,5,7,9,13,15,17, Osiedle Akademickie, Skarżyńskiego"
314,"Przedszkole Nr 177, Kraków Os. Kombatantów 13",Powszechny,Nie,Osiedle Kombatantów od 1 do 15
315,"Młodzieżowy Dom Kultury im. A. Bursy, Kraków Os. Tysiąclecia 15",Powszechny,Nie,Osiedle Tysiąclecia od 1 do 14
316,"Młodzieżowy Dom Kultury im. A. Bursy, Kraków Os. Tysiąclecia 15",Powszechny,Nie,Osiedle Tysiąclecia od 15 do 27
317,"Zespół Szkół Poligraficzno - Księgarskich, Kraków Os. Tysiąclecia 38",Powszechny,Nie,Osiedle Tysiąclecia od 28 do 56
318,"Szkoła Podstawowa Nr 126, Kraków Os. Tysiąclecia 57",Powszechny,Nie,"Miśnieńska od 72 do 85, Osiedle Tysiąclecia od 57 do 66,76,78,86"
319,"Szkoła Podstawowa Nr 126, Kraków Os. Tysiąclecia 57",Powszechny,Nie,"Osiedle Oświecenia od 1 do 8, od 14 do 17"
320,"Szkoła Podstawowa Nr 130, Kraków Os. Oświecenia 30",Powszechny,Nie,"Osiedle Oświecenia od 35 do 40, 43, 44, 46,46a,47"
321,"Szkoła Podstawowa Nr 130, Kraków Os. Oświecenia 30",Powszechny,Nie,"Osiedle Oświecenia od 9 do 13, 33, 33 a"
322,"Szkoła Podstawowa Nr 130, Kraków Os. Oświecenia 30",Powszechny,Nie,Osiedle Oświecenia od 18 do 27
323,"Szkoła Podstawowa Nr 130, Kraków Os. Oświecenia 30",Powszechny,Nie,"Aleja Generała Bora Komorowskiego ( bez Nr 9a,15,15a,b ), Dobrego Pasterza 124, Kniaźnina 6, 12, Krzesławicka 2 a, 2 b, Osiedle Oświecenia od 28 do 32, 34, 41, 42, 45"
324,"Ośrodek Kultury im. C. K. Norwida - Klub ""Kuźnia"", Kraków Os. Złotego Wieku 14",Powszechny,Nie,Osiedle Złotego Wieku od 1 do 15
325,"Ośrodek Kultury im. C. K. Norwida - Klub ""Kuźnia"", Kraków Os. Złotego Wieku 14",Powszechny,Nie,Osiedle Złotego Wieku od 16 do 32
326,"Gimnazjum Nr 37, Kraków Os. Złotego Wieku 36",Powszechny,Tak,Osiedle Złotego Wieku od 33 do 52
327,"Gimnazjum Nr 37, Kraków Os. Złotego Wieku 36",Powszechny,Tak,Osiedle Bohaterów Września od 57 do 81
328,"Szkoła Podstawowa Nr 85, Kraków Os. Złotego Wieku 4",Powszechny,Nie,"Baziaka, Budziszyńska, Korony Polskiej, Księdza Kuczkowskiego, Księdza Kurzei, Mosdorfa, Na Zboczu, Orła Białego, Osiedle Złotego Wieku od 68 do 71 i od 74 do 85, 94, Parnickiego, Wawelska 8, 10, 12, 14, 16, Zawieyskiego, Zjazdu Gnieźnieńskiego"
329,"Szkoła Podstawowa Nr 85, Kraków Os. Złotego Wieku 4",Powszechny,Nie,"Osiedle Złotego Wieku od 53 do 67, Wawelska 6"
330,"Szkoła Podstawowa Nr 144, Kraków Os. Bohaterów Września 13",Powszechny,Nie,Osiedle Bohaterów Września od 1 do 5
331,"Szkoła Podstawowa Nr 144, Kraków Os. Bohaterów Września 13",Powszechny,Nie,Osiedle Bohaterów Września od 6 do 14
332,"Szkoła Podstawowa Nr 144, Kraków Os. Bohaterów Września 13",Powszechny,Nie,Osiedle Bohaterów Września od 26 do 38
333,"Szkoła Podstawowa Nr 144, Kraków Os. Bohaterów Września 13",Powszechny,Nie,Osiedle Bohaterów Września od 39 do 55
334,"Przedszkole Samorządowe Nr 144, Kraków Os. Bohaterów Września 15",Powszechny,Nie,Osiedle Bohaterów Września od 15 do 25
335,"Szkoła Podstawowa Nr 89, Kraków Os. Piastów 34a",Powszechny,Nie,Osiedle Piastów od 1 do 11
336,"Szkoła Podstawowa Nr 89, Kraków Os. Piastów 34a",Powszechny,Nie,"Osiedle Piastów od 12 do 17 a, 29, 34, 34 a, Osiedle Mistrzejowice 14"
337,"Szkoła Podstawowa Nr 89, Kraków Os. Piastów 34a",Powszechny,Nie,"Osiedle Piastów od 18 do 28, Osiedle Mistrzejowice 13"
338,"Szkoła Podstawowa Nr 89, Kraków Os. Piastów 34a",Powszechny,Nie,Osiedle Piastów od 30 do 44 (bez 34 i 34 a)
339,"Szkoła Podstawowa Nr 89, Kraków Os. Piastów 34a",Powszechny,Nie,"Dmowskiego, Do Fortu, Generała Okulickiego 44,60, 66, Korfantego, Królowej Marysieńki, Księdza Kardynała Sapiehy, Księdza Mazanka, Marycjusza, Mistrzejowicka, Osiedle Mistrzejowice od 1 do 53 ( bez Nr 13,14)"
340,"Przedszkole Samorządowe Nr 187, Kraków Os. Piastów 48",Powszechny,Nie,"Dziekanowicka, Osiedle Piastów od 45 do 61, Powstańców parzyste od 54 do 62A, 64, 121, 123, 125, 125 a, 127, 129"
341,"Publiczna Szkoła Podstawowa Sióstr Salezjanek im. Błogosławionej Laury Vicuna, Kraków Os. Kościuszkowskie 7 tel. sekretariat 6480508",Powszechny,Nie,Osiedle Kościuszkowskie od 1 do 8
342,"Publiczna Szkoła Podstawowa Sióstr Salezjanek im. Błogosławionej Laury Vicuna, Kraków Os. Kościuszkowskie 7",Powszechny,Nie,Osiedle Kościuszkowskie od 9 do 11
343,"Zespół Szkół Ogólnokształcących Nr 3, Kraków Os. Wysokie 6",Powszechny,Nie,"Osiedle Na Lotnisku 1, 2, 4, 6, od 19 do 21"
344,"Zespół Szkół Ogólnokształcących Nr 3, Kraków Os. Wysokie 6",Powszechny,Nie,"Osiedle Na Lotnisku 3, od 7 do 18 a, Króla"
345,"Szkoła Podstawowa Nr 104, Kraków Os. Wysokie 7",Powszechny,Nie,Osiedle Strusia od 1 do 6
346,"Szkoła Podstawowa Nr 104, Kraków Os. Wysokie 7",Powszechny,Nie,"Osiedle Wysokie od 1 do 22 c, Urszulki, Złoczowska"
347,"Gimnazjum Nr 42, Kraków Os. Strusia 19",Powszechny,Nie,Osiedle Strusia od 7 do 12
348,"Gimnazjum Nr 42, Kraków Os. Strusia 19",Powszechny,Nie,"Osiedle Strusia od 13 do 20, Bogusza"
349,"Szkoła Podstawowa Nr 82, Kraków Os. Kalinowe 17",Powszechny,Nie,Osiedle Kalinowe od 1 do 11
350,"Szkoła Podstawowa Nr 92, Kraków Os. Kalinowe 18",Powszechny,Nie,Osiedle Kalinowe od 12 do 17
351,"Szkoła Podstawowa Nr 92, Kraków Os. Kalinowe 18",Powszechny,Nie,Osiedle Kalinowe od 18 do 24
352,"Zespół Szkół Ogólnokształcących Nr 16, Kraków Os. Niepodległości 19",Powszechny,Nie,Osiedle Niepodległości od 1 do 7
353,"Zespół Szkół Ogólnokształcących Nr 16, Kraków Os. Niepodległości 19",Powszechny,Nie,Osiedle Niepodległości od 8 do 19
354,"Szkoła Podstawowa Nr 100, Kraków Os. Albertyńskie 36",Powszechny,Nie,Osiedle Albertyńskie od 12 do 21
355,"Szkoła Podstawowa Nr 100, Kraków Os. Albertyńskie 36",Powszechny,Nie,"Małego Księcia, Osiedle Albertyńskie od 22 do 30"
356,"Szkoła Podstawowa Nr 100, Kraków Os. Albertyńskie 36",Powszechny,Nie,"Osiedle Albertyńskie 1, 2 i od 31 do 38"
357,"Szkoła Podstawowa Nr 86, Kraków Os. Jagiellońskie 18",Powszechny,Nie,"Osiedle Przy Arce od 1 do 8, Porucznika Szczeklika"
358,"Szkoła Podstawowa Nr 86, Kraków Os. Jagiellońskie 18",Powszechny,Nie,Osiedle Przy Arce od 9 do 12 i 14
359,"Szkoła Podstawowa Nr 86, Kraków Os. Jagiellońskie 18",Powszechny,Nie,Osiedle Przy Arce 13 i od 15 do 19
360,"Zespół Szkół Gastronomicznych Nr 1, Kraków Os. Złotej Jesieni 16",Powszechny,Nie,"Osiedle Przy Arce od 20 do 26, Batalionu ""Parasol"""
361,"Zespół Szkół Gastronomicznych Nr 1, Kraków Os. Złotej Jesieni 16",Powszechny,Nie,"Andersena, Bulwarowa nieparzyste, Cienista, Fatimska, Kaczeńcowa, Kocmyrzowska 3, 5, 7,7a Makuszyńskiego nieparzyste, Odmogile, Podrzecze od 2 do 28, Stadionowa, Szybka, Wojciechowskiego"
362,"Zespół Szkół Zawodowych Huty im. T. Sendzimira S.A., Kraków Os. Złotej Jesieni 2",Powszechny,Nie,"Obrońców Krzyża 1, Osiedle Jagiellońskie od 1 do 8, 27, 37, Osiedle Złota Jesień (bez Nr 1 ), Łopackiego"
363,"Szkoła Podstawowa Nr 101, Kraków Os. Jagiellońskie 9",Powszechny,Nie,"Anny Jagiellonki, Barbary Radziwiłłówny, Królowej Bony, Osiedle Jagiellońskie od 9 do 26, od 28 do 36"
364,"Szkoła Podstawowa Nr 101, Kraków Os. Jagiellońskie 9",Powszechny,Nie,Osiedle Kazimierzowskie od 26 do 34
365,"Gimnazjum Nr 41, Kraków Os. Jagiellońskie 17",Powszechny,Nie,"Osiedle Kazimierzowskie od 1 do 15, Spytka z Melsztyna"
366,"Gimnazjum Nr 41, Kraków Os. Jagiellońskie 17",Powszechny,Nie,"Osiedle Kazimierzowskie od 18 do 25, Elżbiety Łokietkówny"
367,"Klub ""KRZESŁAWICE"", Kraków Wańkowicza 17",Powszechny,Nie,"Kleinera, Kocmyrzowska parzyste od 2 do 6, nieparzyste od 9 do 19, Krasnowolskiego, Lehra-Spławińskiego, Łempickiego, Łowińskiego 1, Makuszyńskiego parzyste, Polskiego Czerwonego Krzyża, Przebindowskiego, Wańkowicza (bez 8, 14, 16, 20, 22), Wąwozowa"
368,Szkoła Podstawowa Nr 129 os. Na Wzgórzach 13a,Powszechny,Nie,"Osiedle Na Wzgórzach od 1 do 10, od 36 do 44, 59"
